word,male,male_ratio,female,female_ratio,female_male_ratio
care,2678,0.074743923,2363,0.097980678,1.310884875
miss,797,0.022244551,703,0.029149563,1.310413647
comfort,1288,0.035948533,1136,0.047103703,1.310309446
camp,1373,0.038320913,1210,0.050172078,1.309261016
genuin,764,0.021323509,672,0.027864162,1.306734382
jump,363,0.010131458,319,0.013227184,1.30555587
home,2830,0.078986296,2485,0.10303935,1.304521861
smart,1481,0.041335231,1300,0.053903885,1.304066377
natur,2058,0.057439504,1805,0.074843471,1.302996471
public,382,0.010661754,335,0.013890617,1.302845292
optimist,714,0.019927991,625,0.025915329,1.300448653
hot,654,0.01825337,572,0.02371771,1.299360571
lucki,577,0.016104273,504,0.020898122,1.297675565
outsid,1446,0.040358369,1262,0.052328233,1.296589396
spend,3270,0.091266851,2847,0.118049509,1.293454387
wonder,1213,0.033855257,1052,0.043620683,1.288446359
cuddl,382,0.010661754,331,0.013724758,1.28728893
book,2035,0.056797566,1762,0.073060497,1.286331468
friend,12297,0.343213598,10622,0.440436207,1.283271437
togeth,1269,0.035418237,1096,0.045445122,1.2830995
healthi,1060,0.029584973,915,0.037940042,1.282409222
posit,1212,0.033827347,1046,0.043371895,1.282154817
list,981,0.027380055,846,0.03507899,1.281187696
someon,7588,0.211783751,6542,0.271260936,1.280839231
shi,1210,0.033771526,1042,0.043206037,1.279362899
sarcast,1084,0.030254822,933,0.038686404,1.278685573
smile,1250,0.03488794,1075,0.044574367,1.277643986
daili,413,0.011526975,355,0.014719907,1.276996494
forward,801,0.022356192,688,0.028527595,1.276048924
social,1969,0.054955483,1690,0.070075051,1.275123918
equal,533,0.014876218,457,0.018949289,1.273797507
bodi,785,0.021909626,672,0.027864162,1.271777156
kind,3937,0.109883056,3370,0.139735456,1.271674286
fall,669,0.018672025,572,0.02371771,1.270226926
especi,1674,0.046721929,1431,0.059335738,1.269976205
passion,3725,0.103966061,3180,0.131857196,1.268271539
peac,359,0.010019816,306,0.012688145,1.266305175
nativ,833,0.023249323,708,0.029356885,1.262698487
